Player,primary_team,pred_award_share,G,PTS_per_g,TRB_per_g,AST_per_g,PER,WS,BPM
Nikola JokiÄ,DEN,0.5658179999999998,12.0,28.666666666666668,13.0,10.916666666666666,38.3,3.8,20.2
Shai Gilgeous-Alexander,OKC,0.5378199999999993,14.0,32.57142857142857,5.071428571428571,6.642857142857143,32.9,3.6,13.2
Giannis Antetokounmpo,MIL,0.5195339999999996,12.0,32.583333333333336,11.333333333333334,7.083333333333333,34.8,2.4,11.3
Luka DonÄiÄ,LAL,0.4248179999999999,10.0,34.4,8.9,8.9,29.2,1.9,10.3
Jaylen Brown,BOS,0.16447539392601182,14.0,27.428571428571427,5.642857142857143,4.071428571428571,21.8,1.2,3.5
Donovan Mitchell,CLE,0.16418180563936727,12.0,30.416666666666668,4.583333333333333,5.416666666666667,24.6,1.6,7.6
Tyrese Maxey,PHI,0.1577950303030304,12.0,32.0,5.083333333333333,7.833333333333333,23.4,2.0,6.3
Lauri Markkanen,UTA,0.14228486054132802,13.0,30.615384615384617,6.153846153846154,2.076923076923077,23.0,1.7,5.0
Cade Cunningham,DET,0.09747788414916919,11.0,27.454545454545453,5.363636363636363,9.909090909090908,20.7,1.3,4.3
Jalen Brunson,NYK,0.07811525963672776,11.0,28.0,3.5454545454545454,6.545454545454546,21.4,1.3,3.2
